Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City,State,Zip,Inspection Date,Inspection Type,Results,Violations,Latitude,Longitude,Location
2642294,JENNY FOODS,JENNY FOODS,3100147,Grocery Store,Risk 3 (Low),207 E GARFIELD BLVD,CHICAGO,IL,60637,9/4/2026,License,Pass,"53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED RECEPTACLE FOR PROPER DISPOSAL OF SANITARY NAPKINS IN EMPLOYEE WASHROOM. INSTRUCTED TO PROVIDE COVERED WASTE RECEPTACLE.",41.79428957,-87.62051,"(41.79428957130776, -87.62051000024016)"
2642311,LAS ISLAS MARIAS,LAS ISLAS MARIAS,1649503,Restaurant,Risk 1 (High),6560 W FULLERTON AVE,CHICAGO,IL,60707,9/4/2026,Canvass Re-Inspection,Fail,"16. FOOD-CONTACT SURFACES: CLEANED & SANITIZED - Comments: 4-602.11(B-E) ---OBSERVED A SLIGHT DEBRIS ACCUMULATION ENCRUSTED ON THE INTERIOR OF THE ICE MACHINE.MUST REMOVE DEBRIS, DETAIL CLEAN INSIDE ICE MACHINE/HAVE SERVICED AND MAINTAIN ICE MACHINE AT ALL TIMES. | 33. PROPER COOLING METHODS USED; ADEQUATE EQUIPMENT FOR TEMPERATURE CONTROL - Comments: 4-301.11---OBSERVED THE KITCHEN 3-DOOR PREP LINE COOLER WITH AN AIR TEMPERATURE OF 44.0F. ALSO, THE WALK-IN-COOLER AT IMPROPER COLD HOLDING TEMPERATURE WITH AN AIR TEMPERATURE OF 45.0F. INSTRUCTED MANAGEMENT TO REPAIR AND MAINTAIN SAID COOLER AT 41F OR COLDER AT ALL TIMES. (***SEE COMMENTS BELOW).PRIORITY VIOLATION 7-38-005. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: 6-501.111---WE CONTINUE TO OBSERVE EVIDENCE OF PEST ACTIVITY AND LIVE COCKROACHES AND LIVE SMALL FLIES FLYING AROUND ON THE PREMISES.ONE (1) LIVE CRAWLING COCKROACH ON THE FLOOR BEHIND THE DEEP FRYERS AND ONE (1) LIVE CRAWLING COCKROACH ON THE WALL ELECTRICAL OUTLETS BEHIND THE COOKING EQUIPMENTS IN THE KITCHEN FOOD PREP AREA AND OVER 100 RODENT(MICE) DROPPINGS ON THE FLOOR UNDERNEATH THE STORAGE RACKS IN THE 2ND FLOOR DRY STORAGE AREAS AND OVER 100 LIVE SMALL FLIES FLYING AROUND IN THE BAR AREAS ON WALLS/TELEVISION AREAS AND IN VARIOUS AREAS OF THE KITCHEN WALLS AND NEAR THE WALK-IN-COOLER.INSTRUCTED TO DETAIL CLEAN AND REMOVE ALL PEST ACTIVITY AND SANITIZE ALL AFFECTED AREAS IN DETAIL.PEST CONTROL SERVICE IS NEEDED TO ELIMINATE THE PEST ACTIVITY. PRIORITY VIOLATION 7-38-020(A). | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-101.19---OBSERVED CHIPPED PAINT AND RUST ON THE WIRE STORAGE RACKS IN THE WALK-IN COOLER. INSTRUCTED TO REMOVE CHIPPED PAINT AND RUST AND REPAINT OR REPLACE THE SHELVES. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: 4-602.13---INSTRUCTED TO CLEAN THE FOLLOWING EQUIPMENT AND MAINTAIN: PREP TABLES (TOPS AND BOTTOMS), EXTERIOR SURFACES OF FRYERS AND OTHER COOKING EQUIPMENTS, UNDER GRILLS AND SHELVES INSIDE OF REFRIGERATION UNITS. CLEAN THE GREASE ON THE OUTSIDE AND INSIDE OF THE DEEP FRYERS, PREP TABLES NEXT TO THE DEEP FRYERS AND 1 BURNER STOVES. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.13---OBSERVED FOOD DEBRIS AND SPILLS ON THE FLOORS AND SURFACES THROUGHOUT THE FACILITY. INSTRUCTED TO DETAIL CLEAN UNDER ALL SHELVING UNITS, INTERIOR OF PREP DISH AREA, AROUND DISH MACHINE, PREP TABLES AND ALL COOKING EQUIPMENT TO REMOVE SPILLS, FOOD DEBRIS, AND DIRT BUILDUP.INSTRUCTED TO DETAIL CLEAN AND MAINTAIN AT ALL TIMES. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.11---INSTRUCTED TO DETAIL CLEAN WALLS THROUGHOUT THE KITCHEN FOOD PREP AREAS AND BAR AND SERVICE AREAS TO REMOVE FOOD SPLASHED DEBRIS AND MAINTAIN. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: 4-202.18--- INSTRUCTED TO DETAIL CLEAN THE KITCHEN EXHAUST HOOD/SYSTEMS FILTERS TO REMOVE ACCUMULATION OF HANGING GREASE BUILD-UP AND TO MAINTAIN. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: 6-303.11---OBSERVED DIM LIGHTING INSIDE THE WALK-IN-COOLER.INSTRUCTED TO PROVIDE A BRIGHTER BULB AND MAINTAIN ADEQUATE LIGHTING AT ALL TIMES. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: 2-102.13---OBSERVED SOME EXPIRED FOOD HANDLER CERTIFICATES FOR EMPLOYEES.INSTRUCTED TO SHOW PROOF OF TRAINING FOR ALL FOOD HANDLING EMPLOYEES AND MAINTAIN AS REQUIRED. | 58. ALLERGEN TRAINING AS REQUIRED - Comments: 2-102.13--- OBSERVED THE CERTIFIED FOOD MANAGER WITHOUT THE ALLERGEN TRAINING CERTIFICATE.ALLERGEN TRAINING IS REQUIRED FOR ALL EMPLOYEES THAT HAVE A CITY OF CHICAGO FOOD SANITATION CERTIFICATE.INSTRUCTED TO COMPLETE TRAINING AND KEEP CERTIFICATE ON SITE. | 60. PREVIOUS CORE VIOLATION CORRECTED - Comments: PREVIOUS CORE VIOLATIONS NOT CORRECTED FROM INSPECTION REPORT#2616307 DATED:04/24/2025  #55---6-501.12 OBSERVED GREASE BUILDUP, FOOD DEBRIS, AND DIRT ON FLOOR UNDER COOKING EQUIPMENT, ALONG WALLS, AND IN ALL CORNERS IN PREP, DISH WASHING, STORAGE. INSTRUCTED MANAGER TO CLEAN FLOORS UNDER ALL EQUIPMENT, ALONG WALLS, AND IN ALL CORNERS IN ALL AREAS.  INSTRUCTED TO CORRECT AND MAINTAIN NOTED VIOLATIONS.PRIORITY FOUNDATION VIOLATION 7-42-090.",41.9237502,-87.78988086,"(41.92375020104243, -87.78988085962634)"
2642312,#1 CHOP SUEY,#1 CHOP SUEY,3015442,Restaurant,Risk 1 (High),4307 W IRVING PARK RD,CHICAGO,IL,60641,9/4/2026,Complaint Re-Inspection,Pass,"35. APPROVED THAWING METHODS USED - Comments: OBSERVED FROZEN MEAT THAWING IN A PLASTIC CONTAINER IN THE FOOD PREP AREA. MANAGEMENT INSTRUCTED TO THAW TCS FOODS UNDER COLD RUNNING WATER, IN THE REFRIGERATOR OR IN THE MICROWAVE AS PART OF A CONTINUOUS COOKING PROCESS.  | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED FOOD ITEMS STORED ON FLOOR IN WALK-IN FREEZER. INSTRUCTED MANAGER TO ELEVATE ALL FOOD SIX INCHES OFF FLOOR. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED CARDBOARD USED AS LINER ON FLOOR IN WALK-IN COOLER. INSTRUCTED MANAGER TO REMOVE ALL CARDBOARD FROM SHELVING UNITS. ALL FOOD AND NON-FOOD CONTACT SURFACES MUST BE SMOOTH AND EASILY CLEANABLE.  | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED RESIDUE ON INTERIOR SURFACES OF ICE MACHINE. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED SOILED MOP HEADS NOT PROPERLY STORED. INSTRUCTED MANAGER TO HANG MOP HEADS TO PREVENT INSECT BREEDING. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: OBSERVED NO FOOD HANDLERS CERTIFICATES ON SITE. INSTRUCTED MANAGER TO COMPLY WITH THE IDPH FOOD HANDLER REQUIREMENT.",41.95344345,-87.73576333,"(41.953443449987795, -87.73576333403281)"
2642298,SARA MOON FOODS INC,SARA MOON FOODS INC,3090175,Grocery Store,Risk 3 (Low),207 E GARFIELD BLVD,CHICAGO,IL,60637,9/4/2026,Canvass,Out of Business,,41.79428957,-87.62051,"(41.79428957130776, -87.62051000024016)"
2642305,MR G'S FOOD & LIQUOR,MR G'S FOOD & LIQUOR,1429,Grocery Store,Risk 2 (Medium),332-334 E 58TH ST,CHICAGO,IL,60637,9/4/2026,Complaint,Pass,,41.78942986,-87.61784034,"(41.789429857455325, -87.61784033976139)"
2642310,Fat Peach Bakery,Fat Peach Bakery,3095858,Bakery,Risk 2 (Medium),1400 W 46TH ST,CHICAGO,IL,60609,9/4/2026,License,Pass,,41.81060129,-87.66028326,"(41.81060129421089, -87.66028325873228)"
2642304,SEAFOOD CITY SUPERMARKET/GRILL CITY/CRISPY TOWN/NO,SEAFOOD CITY SUPERMARKET/GRILL CITY/CRISPY TOWN/NO,2469807,Grocery Store,Risk 1 (High),5033 N ELSTON AVE,CHICAGO,IL,60630,9/4/2026,Complaint,Fail,"15. FOOD SEPARATED AND PROTECTED - Comments: OBSERVED CONSUMERS SERVING THEMSELVES RAW SEAFOOD FROM SEAFOOD BUFFETT. CONSUMERS WHERE SERVING THEMSELVES ITEMS SUCH AS WHOLE UNCOOKED FISH, SHELLFISH, AND FISH HEADS. 1 CONSUMER OBSERVED PICKING UP FISH ITEM WITH BARE HANDS BEFORE PUTTING DOWN. INSTRUCTED MANAGER TO ENSURE CONSUMERS DO NOT SERVE THEMSELVES RAW ANIMAL PRODUCT. MANAGER HAD EMPLOYEE STAND NEAR AREA TO SERVICE CONSUMERS. PRIORITY VIOLATION 7-38-005 CITATION ISSUED.  | 16. FOOD-CONTACT SURFACES: CLEANED & SANITIZED - Comments: OBSERVED ICE MACHINES IN GRILL AREAS/ GRILL CITY WITH BLACK SLIMY SUBSTANCE BUILT UP ON INTERIOR. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN. PRIORITY FOUNDATION VIOLATION 7-38-005 CITATION ISSUED. | 16. FOOD-CONTACT SURFACES: CLEANED & SANITIZED - Comments: OBSERVED INTERIOR OF DISH MACHINE WITH HEAVY SOIL AND DEBRIS BUILD UP IN GRILL CITY AREA. INSTRUCTED MAANGER TO CLEAN THE INTERIOR OF DISH MACHINE. PRIORITY FOUNDATION VIOLATION 7-38-005 CITATION CONSOLIDATED.  | 16. FOOD-CONTACT SURFACES: CLEANED & SANITIZED - Comments: OBSERVED CHLORINE DISH MACHINE PROVIDING A FINAL CHLORINE SANITIZER CONCENTRATION OF 0PPM. INSTRUCTED MANAGER TO ENSURE THAT CHLORINE DISH MACHINE PROVIDES A MINIMUM FINAL CHLORINE SANITIZER CONCENTRATION OF 50 PPM. DISH MACHINE TAGGED. PRIORITY VIOLATION 7-38-025 CITATION ISSUED.  | 16. FOOD-CONTACT SURFACES: CLEANED & SANITIZED - Comments: OBSERVED 3 COMPARTMENT SINK IN DISH AREA WITH BROKEN SANITIZER DISPENSER. WHEN TURNED ON DISPENSER LEAKS AND PROVIDES A QUAT SANITIZER SOLUTION OF 0PPM. INSTRUCTED MANAGER TO REPAIR SANITIZER DISPENSER. PRIORITY VIOLATION 7-38-025 CITATION CONSOLIDATED.  | 28. TOXIC SUBSTANCES PROPERLY IDENTIFIED, STORED, & USED - Comments: OBSERVED FLOOR CLEANER HOOKED UP TO DISH SANITIZER LINE IN GRILL CITY 3 COMPARTMENT SINK. EMPLOYEE WAS UTILIZING FLOOR CLEANER AS SANITIZER FOR DISHES. INSTRUCTED MAANGER TO ENSURE ALL CHEMICALS ARE USED ACCORDING TO MANUFACTERER'S INSTRUCTION AND IN A WAY THAT DOES NOT CREATE A HAZZARD FOR EMPLOYEES OR OTHERS. MANAGER DISCONNECTED FLOOR CLEANER AND WASHED RINSED AND SANITIZED SINK AS WELL AS ALL DISHES THAT WERE WASHED USING FLOOR CLEANER. PRIORITY VIOLATION 7-38-015 CITATION ISSUED. | 29. COMPLIANCE WITH VARIANCE/SPECIALIZED PROCESS/HACCP - Comments: OBSERVED VACUUM PACKAGING MACHINE ON SITE WITH NO HACCP PLAN. INSTRUCTED MAANGER TO PROVIDE HACCP PLAN FOR VACUUM PACKAGING MACHINE. VACUUM PACKAGING MACHINE TAGGED. PRIORITY FOUDNATION VIOLATION 7-38-005 CITATION ISSUED.  | 32. VARIANCE OBTAINED FOR SPECIALIZED PROCESSING METHODS - Comments: OBSERVED VACUUM PACKAGING MACHINE ON SITE WITH NO VARIANCE. INSTRUCTED MANAGER TO PROVIDE VARIANCE FOR VACUUM PACKAGING MACHINE. PRIORITY FOUNDATION VIOLATION 7-38-005 CITATION CONSOLIDATED.  | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED 4 LIVE ROACHES ON SITE IN THE FOLLOWING AREAS: IN GRILL CITY AREA DIRECTLY UNDERNEATH THE HOT HOLDING UNIT WHERE FOOD SERVED DIRECTLY TO CUSTOMERS IS SOLD, BEHIND GRIDDLE AREA, BEHIND PREP COOLER, AND IN DISH AREA. INSTRUCTED MANAGER TO ELIMINATE PEST ACTIVITY. PRIORITY FOUNDATION VIOLATION 7-38-020(A) CITATION ISSUED. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED THE CORPSES OF ROACHES SMASHED AGAINST THE WALL NEAR THE DISH MACHINE. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN.  | 43. IN-USE UTENSILS: PROPERLY STORED - Comments: OBSERVED TONGS IN SELF SERVICE RAW FISH BUFFETT TO BE KNOCKED OVER WITH HANDLES TOUCH RAW FISH. INSTRUCTED MANAGER TO ENSURE TONGS ARE STORED IN A WAY TO PREVENT CROSS CONTAMINATION. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED RACKS THROUGHOUT VARIOUS WALK IN COOLERS WITH DEBRIS BUILD UP. INSTRUCTED MAANGER TO ENSURE ALL RACKS ARE CLEANED.  | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED SIDES OF EQUIPMENT IN GRILL CITY FRYER AREA WITH GREASE BUILD UP. INSTRUCTED MANAGER TO CLEAN EQUIPMENT AND MAINTAIN.  | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: OBSERVED OUTSIDE GREASE RECEPTACLE WITH HEAVY GREASE BUILD UP ON THE EXTERIOR WTIH GREASE DRIPPING ON THE GROUND. INSTRUCTED MANAGER TO MAINTAIN OUTSIDE RECEPTACLES IN SUCH A MANNER THAT DOES NOT ATTRACT PESTS. PRIORITY FOUNDATION VIOLATION 7-38-020(B) CITATION ISSUED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED FLOOR DRAINS THROUGHOUT FACILITY WITH A BUILD UP OF SOIL AND DEBRIS. INSTRUCTED MANAGER TO CLEAN FLOOR DRAINS.  | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED VENTILATION SYSTEMS IN GRILL CITY REAR AREA WITH DUST AND GREASE BUILD UP. INSTRUCTED MAANGER TO CLEAN AND MAINTAIN.  | 60. PREVIOUS CORE VIOLATION CORRECTED - Comments: OBSERVED PREVIOUS CORE VIOLATION NOT CORRECTED. REPORT #2629729 DATED JANUARY 14 2026 INSTRUCTED FACILITY TO: #47 REFINISH OR REPLACE STAINED OR DAMAGED CUTTING BOARDS. OBSERVED HEAVILY SCRATCHED IN STAINED CUTTING BOARD IN GRILL CITY AREA OF FACILITY. INSTRUCTED MANAGER TO ADDRESS PREVIOUS CORE VIOLATION PRIORITY FOUNDATION VIOLATION 7-42-090 CITATION ISSUED.",41.97234928,-87.74682509,"(41.97234928256036, -87.74682508578468)"
2642314,WINGSTOP,WINGSTOP,2835130,Restaurant,Risk 2 (Medium),120 W 87TH ST,CHICAGO,IL,60620,9/4/2026,Canvass,Fail,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED 25 LIVE FLIES SCATTERED THROUGH OUT THE REAR PREP/DISH WASHING AREA ON SHELVING AND BOXES. MUST REMOVE AND CLEAN AFFECTED AREAS. PRIORITY FOUNDATION CITATION ISSUED #7-38-020(A) | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS AND FLOORS DRAINS NEED CLEANING AROUND DISH WASHING AREA AND COOKING AREA TO REMOVE SPILLS AND/OR DEBRIS. | 60. PREVIOUS CORE VIOLATION CORRECTED - Comments: OBSERVED PREVIOUS CORE VIOLATION #57 NOT CORRECTED FROM REPORT #2608875, DATE 12/10/24   Violation Codes: 2-102.13 Inspector Comments: MUST PROVIDE FOOD HANDLERS TRAINING FOR ALL EMPLOYEES  INSTRUCTED MANAGER TO COMPLY WITH THE FOOD HANDLER REQUIREMENT OR MORE CITATIONS WILL FOLLOW PRIORITY FOUNDATION CITATION ISSUED #7-42-090",41.7363802,-87.62769923,"(41.73638020184098, -87.62769923470614)"
2642299,SHADAAB RESTAURANT AND GRILL,SHADAAB RESTAURANT AND GRILL,3096392,,Risk 1 (High),2309-2311 W DEVON AVE,CHICAGO,IL,60659,9/4/2026,License,No Entry,,41.99765535,-87.6878405,"(41.99765535340108, -87.68784050345002)"
2642293,LOS AZARES MEXICAN GRILL LLC,LOS AZARES MEXICAN GRILL,2754075,Restaurant,Risk 1 (High),5238 N NAGLE AVE,CHICAGO,IL,60630,9/4/2026,Complaint Re-Inspection,Pass,,41.97671903,-87.78800131,"(41.97671902984532, -87.78800131348771)"
